ticker,date,totalvol,retailvol
AAPL,4/21/2021,68847136,33779080
AAPL,4/22/2021,84566456,42635790
AAPL,4/23/2021,78756779,37310806
AAPL,4/26/2021,66905069,32694552
AAPL,4/27/2021,66015804,31772602
AAPL,4/28/2021,107760097,44267751
AAPL,4/29/2021,151100953,73397670
AAPL,4/30/2021,109839466,54489137
AAPL,5/3/2021,75135100,35424196
AAPL,5/4/2021,137564718,61885746
AAPL,5/5/2021,84000900,39257677
AAPL,5/6/2021,78128334,34789104
AAPL,5/7/2021,78973273,35678765
AAPL,5/10/2021,88071229,37132719
AAPL,5/11/2021,126142826,63514672
AAPL,5/12/2021,112172282,47295603
AAPL,5/13/2021,105861339,50391286
AAPL,5/14/2021,81917951,35676385
AAPL,5/17/2021,74244624,35487336
AAPL,5/18/2021,63342929,28338384
AAPL,5/19/2021,92611989,41720340
AAPL,5/20/2021,76857123,36078589
AAPL,5/21/2021,79295436,37299408
AAPL,5/24/2021,63092945,25770934
AAPL,5/25/2021,72009482,39570189
AAPL,5/26/2021,56575920,26820935
AAPL,5/27/2021,94625601,36357221
AAPL,5/28/2021,71311109,30085500
AAPL,6/1/2021,67637118,34297695
AAPL,6/2/2021,59278862,27604448
AAPL,6/3/2021,76229170,37463309
AAPL,6/4/2021,75169343,35093029
AAPL,6/7/2021,71057550,31823029
AAPL,6/8/2021,74403774,36596686
AAPL,6/9/2021,56877937,24952379
AAPL,6/10/2021,71186421,29436045
AAPL,6/11/2021,53522373,24037710
AAPL,6/14/2021,96906490,42902891
AAPL,6/15/2021,62746332,28501079
AAPL,6/16/2021,91815026,40757864
AAPL,6/17/2021,96721669,41023523
AAPL,6/18/2021,108953309,40404232
AAPL,6/21/2021,79663316,34307059
AAPL,6/22/2021,74783618,34468445
AAPL,6/23/2021,60214200,28661936
AAPL,6/24/2021,68710998,31258074
AAPL,6/25/2021,70783746,28325617
AAPL,6/28/2021,62111303,25084667
AAPL,6/29/2021,64556081,30877980
AAPL,6/30/2021,63261393,27234902
AAPL,7/1/2021,52485781,23016182
AAPL,7/2/2021,78945572,34799607
AAPL,7/6/2021,108181793,56308897
AAPL,7/7/2021,104911589,54521366
AAPL,7/8/2021,105575458,52508353
AAPL,7/9/2021,99890800,49490248
AAPL,7/12/2021,76299719,39127155
AAPL,7/13/2021,100827099,55878017
AAPL,7/14/2021,127050785,69059963
AAPL,7/15/2021,106820297,57468600
AAPL,7/16/2021,93251426,50283673
AAPL,7/19/2021,121434571,57945227
AAPL,7/20/2021,96350036,45684184
AAPL,7/21/2021,74993460,40516793
AAPL,7/22/2021,77338156,43911779
AAPL,7/23/2021,71447416,38787735
AAPL,7/26/2021,72434089,36291842
AAPL,7/27/2021,104818578,46618135
AAPL,7/28/2021,118931191,59076442
AAPL,7/29/2021,56699475,27183707
AAPL,7/30/2021,70440626,34224399
AAPL,8/2/2021,62879961,32477302
AAPL,8/3/2021,64786618,31915179
AAPL,8/4/2021,56368271,26833651
AAPL,8/5/2021,46397674,21349897
AAPL,8/6/2021,54126813,25720872
AAPL,8/9/2021,48908689,24893015
AAPL,8/10/2021,69023081,33146237
AAPL,8/11/2021,48493463,22110822
AAPL,8/12/2021,73779113,34055402
AAPL,8/13/2021,59375009,31216059
AAPL,8/16/2021,103558782,52470405
AAPL,8/17/2021,92229735,47265771
AAPL,8/18/2021,86325990,40092127
AAPL,8/19/2021,86960310,43672100
AAPL,8/20/2021,60549630,28294313
AAPL,8/23/2021,60131810,31046776
AAPL,8/24/2021,48606428,25186175
AAPL,8/25/2021,58991297,30115918
AAPL,8/26/2021,48597195,22985884
AAPL,8/27/2021,55802388,25703754
AAPL,8/30/2021,90956723,44503464
AAPL,8/31/2021,86453117,38065670
AAPL,9/1/2021,80313711,38976409
AAPL,9/2/2021,71171317,35218019
AAPL,9/3/2021,57866066,27157564
AAPL,9/7/2021,82278261,40731075
AAPL,9/8/2021,74420207,37080453
AAPL,9/9/2021,57305730,28786840
AAPL,9/10/2021,140893235,67009091
AAPL,9/13/2021,102404329,52160682
AAPL,9/14/2021,109296295,56858213
AAPL,9/15/2021,83281315,42056943
AAPL,9/16/2021,68034149,31687356
AAPL,9/17/2021,129868824,54362111
AAPL,9/20/2021,123478863,55576887
AAPL,9/21/2021,75833962,37245363
AAPL,9/22/2021,76404341,35265220
AAPL,9/23/2021,64838170,28984318
AAPL,9/24/2021,53477869,24741329
AAPL,9/27/2021,74150729,34473335
AAPL,9/28/2021,108972340,44209202
AAPL,9/29/2021,74602044,31663387
AAPL,9/30/2021,89056664,38027038
